dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol,bgVBM,bgCBM,bgIND,ind,inte
/gpfs/scratch/vkb5066/saTest/all_test/0,0,-79.97872822,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.549743,0.549743,0.549743,0,-23.74521073
/gpfs/scratch/vkb5066/saTest/all_test/1,1,-79.96795402,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.71336,0.71336,0.71336,1,-23.38122605
/gpfs/scratch/vkb5066/saTest/all_test/2,2,-77.81069388,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.549152,0.549152,0.549152,2,-23.7835249
/gpfs/scratch/vkb5066/saTest/all_test/3,3,-75.00679705,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.134955,0.134955,0.134955,3,-22.51915709
/gpfs/scratch/vkb5066/saTest/all_test/4,4,-77.08488086,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.341251,0.341251,0.341251,4,-23.8697318
/gpfs/scratch/vkb5066/saTest/all_test/5,5,-75.80822103,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.221612,0.221612,0.221612,5,-23.05555556
/gpfs/scratch/vkb5066/saTest/all_test/6,6,-76.68961361,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.223891,0.223891,0.223891,6,-23.05555556
/gpfs/scratch/vkb5066/saTest/all_test/7,7,-75.64508423,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.328034,0.328034,0.328034,7,-22.52873563
/gpfs/scratch/vkb5066/saTest/all_test/8,8,-74.1101104,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.274722,0.274722,0.274722,8,-19.82758621
/gpfs/scratch/vkb5066/saTest/all_test/9,9,-76.65674856,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.402011,0.402011,0.402011,9,-22.49042146
/gpfs/scratch/vkb5066/saTest/all_test/10,10,-77.48884268,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.418779,0.418779,0.418779,10,-23.8697318
/gpfs/scratch/vkb5066/saTest/all_test/11,11,-78.73340736,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.584206,0.584206,0.584206,11,-23.44827586
/gpfs/scratch/vkb5066/saTest/all_test/12,12,-78.96081434,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.721494,0.721494,0.721494,12,-23.80268199
/gpfs/scratch/vkb5066/saTest/all_test/13,13,-76.11378055,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.306668,0.306668,0.306668,13,-23.19923372
/gpfs/scratch/vkb5066/saTest/all_test/14,14,-74.96859059,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.147648,0.147648,0.147648,14,-21.13984674
/gpfs/scratch/vkb5066/saTest/all_test/15,15,-78.64125295,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.549402,0.549402,0.549402,15,-22.56704981
/gpfs/scratch/vkb5066/saTest/all_test/16,16,-78.36297543,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.644188,0.644188,0.644188,16,-21.95402299
/gpfs/scratch/vkb5066/saTest/all_test/17,17,-75.70787773,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.529959,0.529959,0.529959,17,-21.48467433
/gpfs/scratch/vkb5066/saTest/all_test/18,18,-75.48877567,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.359779,0.359779,0.359779,18,-19.46360153
/gpfs/scratch/vkb5066/saTest/all_test/19,19,-75.53776835,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.395129,0.395129,0.395129,19,-19.49233716
/gpfs/scratch/vkb5066/saTest/all_test/20,20,-75.24000824,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.387569,0.387569,0.387569,20,-19.81800766
/gpfs/scratch/vkb5066/saTest/all_test/21,21,-75.61132039,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.454263,0.454263,0.454263,21,-19.44444444
/gpfs/scratch/vkb5066/saTest/all_test/22,22,-75.79552291,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.639086,0.639086,0.639086,22,-19.44444444
/gpfs/scratch/vkb5066/saTest/all_test/23,23,-74.51907719,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.292967,0.292967,0.292967,23,-18.49616858
/gpfs/scratch/vkb5066/saTest/all_test/24,24,-76.78630352,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.149209,0.149209,0.149209,24,-22.23180077
/gpfs/scratch/vkb5066/saTest/all_test/25,25,-79.31557951,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.390252,0.390252,0.390252,25,-22.23180077
/gpfs/scratch/vkb5066/saTest/all_test/26,26,-79.27330454,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.551867,0.551867,0.551867,26,-22.63409962
/gpfs/scratch/vkb5066/saTest/all_test/27,27,-77.52931454,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.501056,0.501056,0.501056,27,-21.19731801
/gpfs/scratch/vkb5066/saTest/all_test/28,28,-78.69844235,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.511514,0.511514,0.511514,28,-21.19731801
/gpfs/scratch/vkb5066/saTest/all_test/29,29,-78.25913746,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.276574,0.276574,0.276574,29,-21.16858238
/gpfs/scratch/vkb5066/saTest/all_test/30,30,-76.78480862,1,1,8.7,8.7,20.82,90,90,60.00005068,1364.739816,0.433327,0.433327,0.433327,30,-21.0440613
